* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = F:\Ross\20170303_RK_WetlabColonies_1.eds
* Experiment Run End Time = 2017-03-03 12:26:10 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP	EXPFAIL
A1	946-1	C	UNKNOWN	VIC	NFQ-MGB	34.393	35.8436	2.0515				false	0.01	true	3	32		Y	N	N
A1	946-1	D	UNKNOWN	FAM	NFQ-MGB	28.6143	27.5701	1.4767				false	0.01	true	3	27		Y	N	N
A2	946-1	C	UNKNOWN	VIC	NFQ-MGB	37.2942	35.8436	2.0515				false	0.01	true	3	39		Y	Y	Y
A2	946-1	D	UNKNOWN	FAM	NFQ-MGB	26.5259	27.5701	1.4767				false	0.01	true	3	25		Y	Y	Y
A3	947-3	C	UNKNOWN	VIC	NFQ-MGB	25.1976	25.1412	0.0798				false	0.01	true	3	24		N	N	Y
A3	947-3	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	37.354					false	0.01	true	3	39		N	N	Y
A4	947-3	C	UNKNOWN	VIC	NFQ-MGB	25.0848	25.1412	0.0798				false	0.01	true	3	24		N	N	N
A4	947-3	D	UNKNOWN	FAM	NFQ-MGB	37.354	37.354					false	0.01	true	3	35		N	N	N
A5	943-2	C	UNKNOWN	VIC	NFQ-MGB	39.3944	39.3944					false	0.01	true	3	39		N	Y	Y
A5	943-2	D	UNKNOWN	FAM	NFQ-MGB	27.1988	27.1931	0.008				false	0.01	true	3	26		N	Y	Y
A6	943-2	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	39.3944					false	0.01	true	3	39		N	Y	Y
A6	943-2	D	UNKNOWN	FAM	NFQ-MGB	27.1875	27.1931	0.008				false	0.01	true	3	25		N	Y	Y
A7	950-1	C	UNKNOWN	VIC	NFQ-MGB	29.0306	28.4668	0.7974				false	0.01	true	3	28		Y	N	N
A7	950-1	D	UNKNOWN	FAM	NFQ-MGB	29.6353	29.0279	0.859				false	0.01	true	3	28		Y	N	N
A8	950-1	C	UNKNOWN	VIC	NFQ-MGB	27.903	28.4668	0.7974				false	0.01	true	3	27		Y	N	N
A8	950-1	D	UNKNOWN	FAM	NFQ-MGB	28.4204	29.0279	0.859				false	0.01	true	3	27		Y	N	N
A9	933-3	C	UNKNOWN	VIC	NFQ-MGB	33.3331	33.5782	0.3466				false	0.01	true	3	33		N	N	N
A9	933-3	D	UNKNOWN	FAM	NFQ-MGB	28.456	28.4048	0.0724				false	0.01	true	3	27		N	N	N
A10	933-3	C	UNKNOWN	VIC	NFQ-MGB	33.8232	33.5782	0.3466				false	0.01	true	3	33		N	N	N
A10	933-3	D	UNKNOWN	FAM	NFQ-MGB	28.3536	28.4048	0.0724				false	0.01	true	3	27		N	N	N
A11	940-2	C	UNKNOWN	VIC	NFQ-MGB	30.1436	30.9486	1.1384				false	0.01	true	3	29		Y	N	N
A11	940-2	D	UNKNOWN	FAM	NFQ-MGB	26.6842	27.454	1.0886				false	0.01	true	3	25		Y	N	N
A12	940-2	C	UNKNOWN	VIC	NFQ-MGB	31.7536	30.9486	1.1384				false	0.01	true	3	31		Y	N	N
A12	940-2	D	UNKNOWN	FAM	NFQ-MGB	28.2237	27.454	1.0886				false	0.01	true	3	27		Y	N	N
B1	946-2	C	UNKNOWN	VIC	NFQ-MGB	37.8823	37.8823					false	0.01	true	3	39		Y	Y	Y
B1	946-2	D	UNKNOWN	FAM	NFQ-MGB	26.2498	25.8785	0.5251				false	0.01	true	3	25		Y	Y	Y
B2	946-2	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	37.8823					false	0.01	true	3	39		Y	Y	Y
B2	946-2	D	UNKNOWN	FAM	NFQ-MGB	25.5072	25.8785	0.5251				false	0.01	true	3	24		Y	Y	Y
B3	944-1	C	UNKNOWN	VIC	NFQ-MGB	25.9544	25.9958	0.0585				false	0.01	true	3	25		N	N	Y
B3	944-1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y
B4	944-1	C	UNKNOWN	VIC	NFQ-MGB	26.0372	25.9958	0.0585				false	0.01	true	3	25		N	Y	Y
B4	944-1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
B5	943-3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
B5	943-3	D	UNKNOWN	FAM	NFQ-MGB	30.6409	30.7808	0.1978				false	0.01	true	3	29		N	Y	Y
B6	943-3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
B6	943-3	D	UNKNOWN	FAM	NFQ-MGB	30.9206	30.7808	0.1978				false	0.01	true	3	30		N	Y	Y
B7	950-2	C	UNKNOWN	VIC	NFQ-MGB	30.6617	30.2427	0.5925				false	0.01	true	3	30		Y	N	N
B7	950-2	D	UNKNOWN	FAM	NFQ-MGB	28.371	28.3494	0.0306				false	0.01	true	3	27		Y	N	N
B8	950-2	C	UNKNOWN	VIC	NFQ-MGB	29.8237	30.2427	0.5925				false	0.01	true	3	29		Y	N	N
B8	950-2	D	UNKNOWN	FAM	NFQ-MGB	28.3278	28.3494	0.0306				false	0.01	true	3	27		Y	N	N
B9	938-1	C	UNKNOWN	VIC	NFQ-MGB	25.7799	26.0511	0.3836				false	0.01	true	3	25		N	N	Y
B9	938-1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y
B10	938-1	C	UNKNOWN	VIC	NFQ-MGB	26.3223	26.0511	0.3836				false	0.01	true	3	25		N	Y	Y
B10	938-1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
B11	940-3	C	UNKNOWN	VIC	NFQ-MGB	29.829	29.5708	0.3651				false	0.01	true	3	29		N	N	N
B11	940-3	D	UNKNOWN	FAM	NFQ-MGB	28.9575	29.0991	0.2002				false	0.01	true	3	28		N	N	N
B12	940-3	C	UNKNOWN	VIC	NFQ-MGB	29.3126	29.5708	0.3651				false	0.01	true	3	28		N	N	N
B12	940-3	D	UNKNOWN	FAM	NFQ-MGB	29.2406	29.0991	0.2002				false	0.01	true	3	28		N	N	N
C1	946-3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	34.5514					false	0.01	true	3	39		N	Y	Y
C1	946-3	D	UNKNOWN	FAM	NFQ-MGB	24.8744	24.5581	0.4473				false	0.01	true	3	24		N	Y	Y
C2	946-3	C	UNKNOWN	VIC	NFQ-MGB	34.5514	34.5514					false	0.01	true	3	35		N	N	N
C2	946-3	D	UNKNOWN	FAM	NFQ-MGB	24.2418	24.5581	0.4473				false	0.01	true	3	23		N	N	N
C3	944-2	C	UNKNOWN	VIC	NFQ-MGB	25.2085	25.3733	0.233				false	0.01	true	3	24		N	Y	Y
C3	944-2	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
